,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
284,Ja gledala i oduševljena sam :),None,None,None,None,Positive,None,None
286,molio bih da uradite recenziju filma u paukovoj mreži sa Morganom Frimenom film je odličan,None,None,None,None,Positive,None,None
288,"sranje film.... jedino pitanje koje ostaje posle filma je: ""da l’ je ok samozadovoljavati se gledajući ga? """,None,None,None,None,Negative,None,None
289,Osveženje za srpsku kinematografiju.,None,None,None,None,Positive,None,None
291,"Surovo, ali realno.. Kome se ne sviđa ne mora da komentariše.. film ima predobru poruku, jer je to današnjica 60% tinejdžera. Pozdrav",None,None,None,None,Positive,None,None
292,film nije loš ali po meni ne zaslužuje ocenu deset,None,None,None,None,Neutral,None,None
293,Ovaj film posle 15 minuta može da se gleda samo na preskoke i to ako ste u fazonu da parite oči sa malo amaterske pornografije.,None,None,None,None,Negative,None,None
295,Ovom đubretu ste dali ocenu 10!?!?!?! Strašno. Mislio sam da ste dobar sajt upravo ste postali nerelevantni.,None,None,None,None,Negative,Negative,None
296,Klip proglašen za najbolji film 2012! Bravo za film i nas koji smo prepoznali kvalitet ovog remek-dela! :),None,None,None,None,Positive,None,None
299,"Moram da istaknem da je ovo najgluplji komentar koji sam ikada dobio na sajtu. Tvoja homofobičnost prelazi granice smešnog. Zbilja, kako te nije stid ovako nešto primitivno da napišeš.",None,None,None,None,None,Negative,None
300,..iskreno film je odvratan... ali nažalost pokazuje nam surovu realnost današnjih adolescenata..,None,None,None,None,Negative,None,None
302,"Film je ništa posebno socijala + klinci + seks + droga + karleuša, viđeno odavno. Reditelj je prebudžio *realnost*, a što se tiče progresivnog scenarija - po meni: ništa lakše smisliti. Gluma je ok, kao i neki komentari ovde. poz",None,None,Neutral,None,Neutral,Neutral,None
303,"Film je prva liga, ko hoće da gleda adama sandlera i ostale smradove slobodno nek preskoči 'klip'  Gluma odlična",None,None,Positive,None,Positive,None,None
304,"FILM JE SAVRŠEN!!!!!!!!!!!! STRAŠNO JE SAMO ŠTO ĆE VEĆINA KOMENTARISATI SCENE SEKSA I TO ĆE BITI GLAVNA PREOKUPACIJA, ALI PO MENI SAVRŠENO OSLIKAVA JAKO LOŠU KOMUNIKACIJU U KLASIČNOJ SRPSKOJ PORODICI ŠTO JE PO MOM MIŠLJENJU I GLAVNI RAZLOG OVAKVOG PONAŠANJA TINEJDŽERA!!!! GLUMA-PERFEKTNA!!!!! BRAVO!!!! OCENA 10!!!!",None,None,Positive,None,Positive,None,None
306,"Film samo pokazuje koliko je pao kriterijum u našem obrazovanju, ali ne samo u srednjim školama, nego i na fakultetima. Danas svakakvi završavaju režiju.",None,Negative,None,None,None,None,None
308,Avatar jeste zaslužio 1... a i ovo čudo isto toliko oooo Miloše šlihtaro najveća na ovom sajtu :D,None,None,None,None,Negative,None,None
310,Slažem se sa tim da poruka ne postoji. Film je izgleda napravljen samo zarad dizanja prašine... Ja bih to nazvala - underground komercijala!,None,None,None,None,Negative,Positive,None
311,Htedoh da napišem komentar ali videh da je u ovom sve već napisano. Hvala Limena !,None,None,None,None,None,Positive,None
312,"Haha x)) Možda si u pravu! Film sigurno nije remek delo, mora da postoji neka druga osnova za izjavu te veličine...",None,None,None,None,None,Positive,None
313,sjajan i ocena je za 10,None,None,None,None,Positive,None,None
318,"Pitanje za tebe, Gorane.. Je l’ si mislio ozbiljno kad si ovom filmu dao 10/10? ili je to neki humor.. Dok recimo filmu ""The Artist"" daš 9/10..",None,None,None,None,None,Negative,None
321,Ovu ocenu smatram za najnerealniju na tvom blogu... 10/10 bi ocena trebala da bude za sam vrh u sedmoj umetnosti.. i ne bi trebala da se često daje.. pogotovo ne za ovakve filmove,None,None,None,None,None,Negative,None
322,"Ova devojka Jasna ne glumi u eksplicitnim scenama, za to postoje dubleri naravno, tako da ona nema čega da se stidi, a ni njeni roditelji. Film je dobar, prikazuje realnost... možda fali poruka na kraju, ali ako čitamo između redova, sve je na svome mestu!",None,None,None,None,Positive,None,None
325,"Ovako stanje u Srbiji i školama..... Maja Miloš je preterala, ne malo nego mnooooogoooo..... Baš mnogo Sve više stičem utisak da je pravljen samo da privuče pažnju....",None,None,None,None,Negative,None,None
326,uze mi komentar iz usta...,None,None,None,None,None,Positive,None
328,Jebem ja tako režiserku koja je napisala scenario. a ta devojčica je l’ ima stvarno tatu i mamu koji su dali da ovakav film snimi njihova ćerka!!!!!! STRAŠNO!!!!!,Negative,None,None,None,Negative,None,None
331,Ne seri.,None,None,None,None,None,Negative,None
332,"Film je eksploatorsko đubre najgore vrste. Proper način da se pogleda ovaj film je solo na gajbi, uz džoint, lubrikant i gomilu papirnih ubrusa, nije mi jasno kako je Klip uopšte dospeo u bioskope, a nagrade u Roterdamu i sad na Cinema City-ju su mi jasne još manje.",None,None,None,None,Negative,None,None
333,"10/10!!?? Mora da nas zajebavaš, ja sam se smorio u bioskopu. Toliko pokušava da bude realan, da zaboravlja da bude film. Okej, ne treba biti previše kritičan, treba svako da ga pogleda, ali 10 od 10?",None,None,None,None,Neutral,Negative,None
337,Naivno razmišljanje.,None,None,None,None,None,Negative,None
342,Bravo za komentar. Ja sam ga pogledao. Pomerio me je realnošću i sirovo prezentovanom istinom. Ceo dan se treznim od filma..,None,None,None,None,Positive,Positive,None
343,"Evo malopre odgledah film i izvukao je svu životnu energiju iz mene, mnogo su želeli ali malo pokazali.",None,None,None,None,Negative,None,None
344,"Upravo ta emotivna odvojenost od likova i jednostavna priča u nekim naznakama je ono zbog čega se meni film dopao. To ga je učinilo veoma lakim, tečnim i lepim za gledanje",None,None,None,None,Positive,None,None
345,"Meni se nekako dopada film, dobar je! Čini mi se da je život zapadnjačkog poslovnog čoveka baš onakav, u proseku, manje-više!",None,None,None,None,Positive,None,None
346,"Odlična komedija, odavno se nisam ovako nasmejao! Vrhunski scenario, super, ovakve nam komedije trebaju! Kako ovo nisam gledao ranije, čudim se ja!?",Positive,None,None,None,Positive,None,None
349,molio bih recenziju filma zora za očajnika sa Mel Gibsonom Kurt Raselom I Mišel Fajfer u glavnim ulogama film je odličan,None,None,None,None,Positive,None,None
352,Meni drugi najdraži reditelj. Prvi je naravno Bergman... I slažem se s ocenom.,None,Positive,None,None,None,Positive,None
353,Samo pokušaj satire i parodije... možda i uspeh u tome... ali jako loš... ima mnogo boljih filmova na tu temu od ovog... 4 maksimalno... drž se ti svetih motora... to ti više leži...,None,None,None,None,Negative,None,None
355,"Kad si već spomenuo ""dragulje iz blata"" preporučujem ti da pogledaš ""Eye of god"" iz 1997 god. Skriveni dragulj koji je teško iskopati sa neta... ali sam ga iščeprkao preko eMule... Preporuka!",None,None,None,None,Positive,None,None
356,meni se baš dopao jer je kao celina vrlo uzbudljiv.,None,None,None,None,Positive,None,None
357,"Odgledao! Nešto i nije ostavio utisak. Jeste da je satira i parodija, ima par dobrih fora, ali nekako ""već viđeno""! Manje više prežvakane fore! Blejanje!",None,None,None,None,Neutral,None,None
358,Fenomenalan film!!! Uvek ga mogu gledati :D Ring of Fire najjača stvar :D,None,None,None,None,Positive,None,None
359,molio bih recenziju filma otmica sa Kejdžom u glavnoj ulozi meni je to jako dobar film,None,None,None,None,Positive,None,None
360,"Otkud je to, prijatelju, umetnost? Umetnost treba da podstiče, a ovo je fabrikacija grčke mitologije - holivudski užas novog (kompjuterskog) doba!",None,None,None,None,Negative,None,None
361,Ni prvi deo nije bio nešto.. ali je omogućio ubijanje dosade :D... a ovaj drugi je znatno lošiji od prvog... ne preporučujem :D,None,None,None,None,Negative,None,None
365,Takođe mislim da bi top lista bila dobra ideja,None,None,None,None,None,Positive,None
366,slažem se sa ovom idejom o top listi!,None,None,None,None,None,Positive,None
367,"Sviđaju mi se jako tvoje recenzije i kod većine njih se slažem, tako da bih jako voleo da napraviš svoju Top listu filmova, top 10, 15, 20.. nije bitno. Veliki broj ljudi nije video veliki broj istinskih remek dela, pa bi na taj način mogao da ih im (nam) približiš. Pozdrav! :-)",None,None,None,None,None,Positive,None
368,"ja nešto nisam imao živaca da ga gledam... odgledao 15 min i ugasio... nije gledljiv... nažalost, moram to da kažem..",None,None,None,None,Negative,None,None
369,Savršen film! Kad bih mogao da ocenim 15/10! Savršen!,None,None,None,None,Positive,None,None
370,"jeste, ja sam preplakala jbt kud ga i gledah... film je do koske",None,None,None,None,Positive,None,None
371,"Au, krajnje zajeban film! Nije za emotivce! Odlična gluma i scenario, super! Vrlo zajebano!",Positive,None,Positive,None,Positive,None,None
377,"Ni knjiga ne daje mnogo više u smislu dorečenosti tj. razjašnjavanja. Radnja se više zasniva na apstraktnom i celokupni utisak zavisi od interpretacije gledaoca. Ja potpuno razumem da ovaj film ne može svakome da legne, kod ovakvih projekata najviše važi ona dobra rečenica :''' Sve je to stvar ukusa''.",None,None,None,None,Neutral,None,None
378,Po meni nedorečen kao mnogi filmovi koji su urađeni na osnovu knjiga... ali nisam pročitao knjigu da bih mogao to sigurno da tvrdim. Za sada jedini film koji je urađen bolje od knjige je Burtonov Big Fish,None,None,None,None,Negative,None,None
379,Neobičan film... koji nagoni na razmišljanje. Definitivno - film koji se pamti.,None,None,None,None,Positive,None,None
380,Ovaj film je genijalan i mislim da zaslužuje ocenu 10!,None,None,None,None,Positive,None,None
382,"Upravo odgledah. Film kao film običan prosek. Nešto fali tom filmu... Pretreskava (iritirajuća) kamera, nerazrađeni likovi, scenario isforsiran... Baš tako, film za mlađu publiku, tačnije tinejdžere.. :) 4/10",Negative,None,None,None,Negative,None,None
383,"Jesam, odličan je. Pogledaj Say Anything, to mu je jedan od ranijih radova.",None,None,None,None,Positive,None,None
384,"Meni jedan od najdražih filmova prve dekade novog milenijuma. Zaista sjajan film. Ako nisi gledao njegov film ""Singles"" odmah skidaj.",None,None,None,None,Positive,None,None
385,Film je veoma dosadan.,None,None,None,None,Negative,None,None
388,ima li da je neki nastavak filma totalni promašaj kao što je to slučaj sa ovim filmom.,None,None,None,None,Negative,None,None
389,Kako je ovo loš film... toliko je loš da nije loš toliko da je zanimljiv... loš je na način da je loš toliko da je stvarno LOŠ... UŽASAN,None,None,None,None,Negative,None,None
390,Film je zaista potpuna katastrofa. Recenzija i svi komentari pre ovog mog su apsolutno tačni.,None,None,None,None,Negative,Positive,None
391,"Da baš tako. Ovo je po meni jedan od najgorih filmova koje sam odgledao! Tipa, Džek i Džil, Be cool, mislio sam da od ovih nema gori ali ipak sam se prešao :)",None,None,None,None,Negative,Positive,None
393,"Ako je lošiji od prvog dela, onda je ocena nerealna. Prvi deo je dobio nulu na mojoj skali.",None,None,None,None,Negative,None,None
394,"Prvi deo je ajde, nekako, dobar, kada ga uporediš sa drugim. Ali oba filma su čisto uništavanje jednog odličnog strip serijala!",None,None,None,None,Negative,None,None
395,odgledah ga.. Cage je katastrofa! Toliko me iritira u ovom filmu da bih ga tukao... :) 1/10,None,None,None,None,Negative,None,None
398,da... ovo ti je najoštrija kritika do sada.. pored avatara.. :) baš ću da pogledam ovaj film jer me je motivisala recenzija.. :).. inat je čudo,None,None,None,None,None,Positive,None
399,užasan je,None,None,None,None,Negative,None,None
401,Gluplji film odavno nisam pogledala. Gubljenje vremena,None,None,None,None,Negative,None,None
405,"Film ima dušu, nema šta.",None,None,None,None,Positive,None,None
406,Potpuno se slažem! Ovo je i dalje jedan od mojih omiljenih dugometražnih crtanih filmova.,None,None,None,None,Positive,Positive,None
407,Ovo je jedan od najlepših animiranih filmova u istoriji kinematografije koji svako živo biće na planeti treba da pogleda više puta.,None,None,None,None,Positive,None,None
408,"Nikada mi neće biti jasno kako neko može da voli ovu brljotinu od filma, koja nije zaslužila ni 4/10!?!?",None,None,None,None,Negative,None,None
409,"apsolutno si u pravu, jer prvi put pročitah da je ""Evil Dead II"" trash i nekakva satira. to je blasfemija. film je imao budžet 3,5 miliona dolara i efekti su za to vreme odlični.",None,None,None,None,Negative,Positive,Positive
411,Evil Dead nije trash.,None,None,None,None,None,Negative,None
412,Apsolutno se slažem.,None,None,None,None,None,Positive,None
413,Preterano obožavam ovaj film. Jedan od mojih najomiljenijih horora. Ja sam uz ovakve filmove odrastao. Ovaj film svaki filmofil mora imati u svojoj kolekciji.,None,None,None,None,Positive,None,None
414,Ne znam u kojim segmentima ti je dosadan ali ja sam ga doživeo kao izuzetno realnu priču sa više nego dobrim glumačkim izvedbama.,Positive,None,Positive,None,Positive,None,None
416,"Ne mogu skroz da se složim sa recenzijom; mislim da si precenio film, Gorane. Na momente je strašno dosadan!",None,None,None,None,Negative,Negative,None
417,"Taman tako! Zadnji pasus recenzije objašnjava sve! Slažem se sa svim, samo neka tako nastave! Dobar film!",None,None,None,None,Positive,Positive,None
418,odličan!,None,None,None,None,Positive,None,None
422,"Nisam gledala, ali posle ove recenzije potrudiću se da večeras ne propustim ovaj film.",None,None,None,None,None,Positive,None
423,"Genijalno, stvarno genijalno, po svim pitanjima! Vrhunski film!",None,None,None,None,Positive,None,None
424,"savršeno oslikan - odnos glavnih likova, dijalozi, energija, napetost u odnosima, tvrdi stavovi, razočarenja, zaključane emocije... film za višeputno :) gledanje",Positive,None,None,None,Positive,None,None
425,Mnogo volim ovaj film.,None,None,None,None,Positive,None,None
426,"Ovo, Jaganjci i Nixon su mu najbolje uloge definitivno. :)",None,None,Positive,None,None,None,None
427,"Po meni najbolja gluma ikada (Hopkins), a sve pohvale i za film... i za recenziju.",None,None,Positive,None,Positive,Positive,None
428,"Film je sasvim solidan i prilično ubedljiv do samog kraja. Gluma vrlo dobra.. nema se šta toliko zameriti. Režija takođe dobra i slikovita. Ko voli životne i ljubavne priče, moja topla preporuka.",None,Positive,Positive,None,Positive,None,None
431,"@Nikola ako devojka hoće da se smuva sa tobom, smuvaće se i uz Gay pornić! Film bljuvotina, ali ako bi ga ocenio žanrovski 6/10",None,None,None,None,Negative,None,None
432,"Ovaj film je moj ""guilty pleasure"". Jednostavno, ženski film. Znam da ne valja, ali uživam :) A čini mi se da je vrlo često pominjan u drugim filmovima i serijama. I ismevaju ga :)",None,None,None,None,Positive,None,None
433,"Ne mogu da se složim sa tobom nikako. Film je odličan. Tražila sam neki dobar film, ali sada kada vidim da si ovaj film ocenio dvojkom odoh sa ovog sajta. ;)",None,None,None,None,Positive,Negative,None
